Venue Name,Venue Slug,Region,Waterfront,Sunset view,Scenic view,Traditional Ibiza,On the Beach,Family Friendly,Fine Dining,Romantic Atmosphere,Live Music/DJ,Farm-to-Table,Vegetarian/Vegan Options,Michelin/Repsol Recognition,Rooftop
La Scala,ibiza-la-scala,ibiza,,,,,,,,,,,,,
Pomelo Playa,ibiza-pomelo-playa,ibiza,X,X,X,,X,,,,,,,,
OLD Sexy Fish,miami-sexy-fish,miami,,,,,,,,,,,,,
17 Food and Drink Cala Tarida ,ibiza-17-food-and-drink-cala-tarida,ibiza,,,,,,,,,,,,,
1742,ibiza-1742-2,ibiza,,,,,,,,,,,,,X
3rd Half ,ibiza-3rd-half,ibiza,,,,,,,,,,,,,
A Fish Called Avalon,miami-a-fish-called-avalon,miami,X,,,,X,,,,,,,,
A Mi Manera ,ibiza-a-mi-manera-2,ibiza,,,,,,,X,X,,X,X,,X
Aiyanna,ibiza-aiyanna,ibiza,X,X,X,,X,,,,,,,X,X
Alex's Hangout,ibiza-alexs-hangout,ibiza,,,,,,,,,,,,,
Almar,ibiza-almar,ibiza,X,,X,,X,,,,,,,,
Almar Beach Sunbeds,ibiza-almar-beach-sunbeds,ibiza,X,,,,X,,,,,,,,
Amalur,ibiza-amalur,ibiza,,,,,,,X,X,X,,,,
Amante,ibiza-amante,ibiza,X,X,X,,X,,,X,X,,,,
Ammos Beach Sunbeds,ibiza-ammos-beach-sunbeds,ibiza,,,,,X,,,,,,,,
Ammos Greek Restaurant & Beach Ibiza,ibiza-ammos-greek-restaurant-beach-ibiza,ibiza,,,,,X,,,,,,,,
Amor Amor Cantina del Corazón,miami-amor-amor-cantina-del-corazon,miami,,,,,,,,,,,,,
Amour Weho,los-angeles-amour-weho,los_angeles,,,,,,,X,,X,,,,X
Andres Carne de Res Miami ,miami-andres-carne-de-res-miami,miami,,,,,,,,,X,,,,
Anima,miami-anima,miami,,,,,,,,,,,,,
ARDEN,los-angeles-arden,los_angeles,,X,X,,,,X,,X,X,X,,
Arrogante ,ibiza-arrogante,ibiza,,,,,,,,,,,,,
Aubergine Ibiza,ibiza-aubergine-ibiza,ibiza,,,,,,,,,,X,X,,X
avalon by day,miami-avalon-by-day,miami,X,,,,X,,,,,,,,
Azabu,miami-azabu,miami,,,,,,,X,,,,,,X
Baires Brickell,miami-baires-brickell,miami,,,,,,,,,,,,,
Baires Coral Gables,miami-baires-coral-gables,miami,,,,,,,,,,,,,
Baires Grill Miami Beach ,miami-baires-grill,miami,,,,,,,,,,,,,
Baires Sunny Isles,miami-baires-sunny-isles,miami,,,,,,,,,,,,,
Baoli Miami,miami-baoli-miami,miami,,,,,,,,,X,,,,
Barton G ,miami-prime-italian,miami,,,,,,,X,,,,,,
Beso Beach,ibiza-beso-beach-2,ibiza,X,X,X,,X,,,,,,,,
Beso Beach,formentera-beso-beach,ibiza,X,X,X,,X,,,,,,,,
Blue Marlin & Jemanya,ibiza-blue-marlin-jemanya,ibiza,X,,X,,X,,,X,,X,,,
BOA Steakhouse,los-angeles-boa-steakhouse,los_angeles,,,,,,,X,X,,,,,
Bonito ,ibiza-bonito,ibiza,,,,,,,,,,,,,
Braso,ibiza-braso,ibiza,,,,,,,,,,,,,
Byblos Miami,miami-byblos-miami,miami,,,,,,,,,,,,,
Cala Duo,ibiza-cala-duo,ibiza,X,,X,,X,,,,,,,,
Call Me Gaby,miami-call-me-gaby,miami,,,,,,,X,,,,,,
Calle Dragones,miami-calle-dragones,miami,,,,,,,,,,,,,
Camí de Balàfia,ibiza-cami-de-balafia,ibiza,,,,X,,,,,,,,,
Can Domingo,ibiza-can-domingo,ibiza,,,,,,,,,,X,X,,
Can'Ta Bistro ,ibiza-canta-bistro,ibiza,,,,,,,,,,,,,
Carmel Melrose,los-angeles-carmel-melrose,los_angeles,,,,,,,,,X,,,,
Carnesa Churrascaria,ibiza-carnesa,ibiza,,,,,,,,,,,,,
C’as Mila,ibiza-cas-mila,ibiza,X,,,,X,,,,,,,,
Cas Pagés,ibiza-cas-pages,ibiza,,,,X,,,,,,,,,
Casa Bonafe ,ibiza-casa-bona-fe,ibiza,X,,,,X,,,,,,,,
Casa Bonafe Beach Sunbeds,ibiza-casa-bonafe-beach-sunbeds,ibiza,X,,,,X,,,,,,,,
Casa Flow,ibiza-casa-flow,ibiza,,,,,,,,,,,,,
Casa Jondal,ibiza-casa-jondal,ibiza,X,,X,,X,,,,,,,,X
Casa Lhasa,ibiza-casa-lhasa,ibiza,,,,,,,,,,,,,
Casa Maca,ibiza-casa-maca-2,ibiza,,,,,,,,,,X,,,
Casa Madera LA ,los-angeles-casa-madera,los_angeles,,,,,,,,,,,,,
Casa Madera Miami,miami-casa-madera,miami,,,,,,,,,,,,,
Casa Neos,miami-casa-neo,miami,X,,X,,,,X,X,X,,,,
Casa Piedra,ibiza-casa-piedra,ibiza,,,,,,,,,,,,,
Casadonna,miami-casadonna,miami,X,,X,,,,,X,,,,,X
Catch LA ,miami-kyu,los_angeles,,,,,,,,,,,,,
Catch Miami Beach ,miami-catch-miami-beach,miami,,,,,,,,,,,,,
CBBC,ibiza-cbbc-2,ibiza,X,,X,,X,,,,,,,,
CBBC,ibiza-cbbc,ibiza,X,,X,,X,,,,,,,,
Cecconis at Soho House,miami-cecconis-at-soho-house,miami,,,,,,X,X,X,,,,X,X
Chez Mia,los-angeles-chez-mia,los_angeles,,,,,,,X,X,,,,,
ChezzGerdi  ,ibiza-chezzgerdi,ibiza,X,X,X,,X,,,,,,,,
Cipriani,los-angeles-cipriani,los_angeles,,,,,,,X,,,,,,
Cipriani,ibiza-cipriani,ibiza,,,,,,,X,,,,,,
Claudie,miami-claudie,miami,,,,,,,X,,,,,,
Club Náutico ,ibiza-club-nautico,ibiza,,,,,,,,,,,,,
Cotoa,miami-cotoa,miami,,,,,,,,,,,,,
Cotton beach ,ibiza-cotton-beach-2,ibiza,X,X,X,,X,,,,,,,,
Cotton Beach Club,ibiza-cotton-beach-club,ibiza,X,X,X,,X,,,,,,,,
Craigs,los-angeles-craigs,los_angeles,,,,,,,,,,,,,
Crazy Pizza ,ibiza-crazy-pizza,ibiza,,,,,,,,,X,,,,
Delilah LA,los-angeles-delilah,los_angeles,,,,,,,,,X,,,,
Delilah Miami,miami-delilah,miami,,,,,,,,,X,,,,
DiDi,los-angeles-didi,los_angeles,,,,,,,,,,,,,
Doma,doma,miami,,,,,,,,,,,,,
Doya,miami-doya,miami,,,,,,X,,,,,X,X,
El Chiringuito Beach Sunbeds,ibiza-el-chiringuito-beach-sunbeds,ibiza,X,,,,X,X,X,,,,,X,
El Chiringuito Ibiza,ibiza-el-chiringuito-ibiza,ibiza,X,,X,,X,X,X,,,,,X,
El Nautico,ibiza-el-nautico,ibiza,X,,,,,,,,,,,,
El Patio & Bar Habana ,miami-el-patio-bar-habana,miami,,,,,,,,,,,,,
El Silencio,ibiza-el-silencio,ibiza,X,X,X,,X,,,,X,,,,
El Silencio,ibiza-el-silencio-2,ibiza,X,X,X,,,,,,X,,,,
Elements,ibiza-elements,ibiza,X,,X,,X,,,,,,,,
Ensenada,miami-ensenada,miami,,,,,,,,,,,,,
Erba,miami-erba,miami,,,,,,,,,,,X,,
Es Boldado,ibiza-es-boldado,ibiza,X,X,X,X,,,,,,,,,
Es Codol Foradat,ibiza-es-codol-foradat,ibiza,,,X,,X,,,,,,,,
Es Fumeral,ibiza-es-fumeral,ibiza,,,X,,X,,,,,,,,
Es Mercat,ibiza-es-mercat,ibiza,,,,,,,,,,,,,
Es Molí de Sal,ibiza-es-moli-de-sal,ibiza,X,,X,,X,,,,,,,,
Es Nautic,ibiza-es-nautic,ibiza,X,X,,,,,,,,,,,
Es Torrent,ibiza-es-torrent,ibiza,X,,X,,X,,,,,,,,
Es Tragón,ibiza-es-tragon,ibiza,,,,,,,,,X,,,,X
Esmariner,ibiza-esmariner,ibiza,,,,,,,,,,,,,
Estiatorio Milos,miami-milos,miami,,,,,,X,X,,,,,,X
Forte dei Marmi,miami-forte-dei-marmi,miami,,,,,,,X,X,X,,,,X
Gao,miami-gao,miami,,,,,,,,,,,,,
Gekko,miami-gekko,miami,,,,,,,,,X,,,,
Ghee Wynwood,miami-ghee,miami,,,,,,,,,,X,X,,
Giselle,miami-giselle,miami,,,,,,,,,X,,,,X
Godai,ibiza-godai,ibiza,,,,,,,,,,,,,
Gold Standard Sushi - Omakase Experience,miami-gold-standard-sushi-prepaid-omakase-experience,miami,,,,,,,X,,,,,,
Golden Hour,los-angeles-golden-hour,los_angeles,,X,,,,,,,X,,,,
Good Life,ibiza-good-life,ibiza,,,,,,,,,,,,,X
Grand Central ,miami-grand-central,miami,,,,,,,,,,,,,
Greekman’s ,los-angeles-greekmans,los_angeles,,,,,,,,,,,,,
Habibi,miami-habibi,miami,,,,,,,,,X,,,,
Hämbre,ibiza-hambre,ibiza,,,,,,,,,,,X,,
Hannah,ibiza-hanna,ibiza,,,,,,,,,X,,,,
Harriets,los-angeles-harriets,los_angeles,,,,,,,,,X,,,,
Hell`s Kitchen,ibiza-hells-kitchen,ibiza,,,,,,,X,,,,,,
Hideaway,los-angeles-hideaway,los_angeles,,,,,,,,,,,,,
Hostal La Torre,ibiza-hostel-la-torre,ibiza,X,X,X,,,X,X,X,X,,,,
Ibiza Hike Station,ibiza-ibiza-hike-station,ibiza,,,,,,,,,,,,,
Ibiza Test Venue,ibiza-a-mi-manera,ibiza,,,,,,,,,,,X,,
Il Gabbiano,miami-il-gabbiano,miami,X,,X,,,,,,,X,,,
It Ibiza,ibiza-it-ibiza,ibiza,,,,,,,,,X,,,,
Itamae,miami-itamae,miami,,,,,,,,,,,,,
Juan y Andrea,ibiza-juan-y-andrea,ibiza,X,,X,,X,,,,,,,,
JUL'S,ibiza-juls,ibiza,,,,,,,,,X,X,,,
Juntos Farm,ibiza-juntos-farm,ibiza,,,,,,,,,,X,,,
Kasbah,los-angeles-kasbah,los_angeles,,,,,,,,,X,,,,
Katsuya Hollywood,los-angeles-katsuya,los_angeles,,,,,,,,,,,,,
Kevin's Hangout,miami-kevins-hangout,miami,,,,,,,,,,,,,
Kiki on the River ,miami-kiki-on-the-river,miami,X,,,,,,,X,X,X,,,
Kissaki,miami-kissaki,miami,,,,,,,,,,,,,
Klaw,miami-klaw,miami,X,,X,,,,,,,,,,
Klaw Rooftop Lounge,miami-klaw-rooftop-lounge,miami,,,,,,,,,,,,,X
KM1,ibiza-km1,ibiza,,,,,,,,,,,,,
Komodo,miami-komodo,miami,,,,,,,,,,,,,
Krüs Kitchen,miami-krus-kitchen,miami,,,,,,X,X,,,X,X,,X
KYU,miami-kyu-2,miami,,,,,,,,,,,,,
L'atelier de Joel Robuchon,miami-latelier-de-joel-robuchon,miami,,,,,,,X,,,,,,X
La Baita,ibiza-la-baita,ibiza,,,,,,,,,,,,,X
La Escollera,ibiza-la-escollera,ibiza,X,,X,,X,,,,,,,,
La Escollera Beach Sunbeds,ibiza-la-escollera-beach-sunbeds,ibiza,X,,,,X,,,,,,,,
La Gaia,ibiza-la-gaia,ibiza,,,,,,,,,X,,,,X
La Grande Boucherie,miami-la-grande-boucherie-miami,miami,,,,,,,,,,,,,
La Olivia,ibiza-la-oliva,ibiza,,,,,,,,,,,,,
La Paloma,ibiza-la-paloma,ibiza,,,,X,,X,,X,X,X,X,,X
La Plaza ,ibiza-la-plaza,ibiza,,,,,,,,,,,,,
La Ventana,ibiza-la-ventana,ibiza,,,,,,,,,,,,,
La Veranda (Atzaró),ibiza-la-veranda-atzaro,ibiza,,,,,,,,,,X,X,,
Lado,ibiza-lado,ibiza,,,,,,,,,,,,,
Lafayette Steakhouse,miami-lafayette-steakhouse,miami,,,,,,,,,,,,,
Las Dos Lunas,ibiza-las-dos-lunas,ibiza,,,,,,,X,,X,,,,
LAYA,los-angeles-layla,los_angeles,,,,,,,,,X,,,,
Laylah,ibiza-laylah-2,ibiza,,,,,,,,,X,,,,
Le Jardinier,miami-le-jardinier,miami,,,,,,,,,X,X,X,,
LIO,miami-lio,ibiza,,,,,,,,,,X,,,
Lío Ibiza,ibiza-lio-ibiza,ibiza,,,,,,,,,X,X,,,
Lique Restaurant ,miami-lique-restaurant,miami,,,,,,,,,,,,,
Los Félix,miami-los-felix,miami,,,,,,,,,,,,,X
LPM,miami-lpm,miami,,,,,,,,,,,,,
LPM,miami-lpm-2,miami,,,,,,,,,,,,,
Lucky Mizu,los-angeles-lucky-mizu,los_angeles,,,,,,,,,,,,,
Lumbre,ibiza-lumbre,ibiza,,,,,,,,,,,,,
Macao Café,ibiza-macao-cafe,ibiza,,,,,,,,,,,,,
Macchialina,miami-macchialina,miami,,,,,,,X,,X,,,,
