restaurant_name,city,short_description,cuisine_type,tags,google_address,google_url,yelp_url,website,google_rating,yelp_rating,yelp_reviews,price_range,logo_url,image_url,vip_experience_notes,status
Hannah,Ibiza,Relaxed restaurant serving Hawaiian-Mediterranean fusion in an airy space with a bar & sea views.,,,"Carrer de Carles III, 21, 07800 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJiXtCU81HmRIRS7JLI-9RW64,,,4.5,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNTzyjgnHVIHW9gKwmVExl6UJeJLr6CwPlLmrWLw2kQfQzMhg7bw0itvxr-Dkta5XRuRaSqxO3jhIH7FmeALKrH2CqBdr_nMxHK7YvoOYpXS2bY2bGyx8nN1fGHuVZycIsODphUWmnvlWEwT8xHZ_piO1_SP7Snu9h79YPBEucXqGzVDUYUmELF8jXfXLMtmyXxOkhg1BZduPGZYVhPDue1OVQSM-zeMDjAr2fPVn88ejsmomq_VNBiCPnj-SyF8WRirpeqAryCGwFfg9F2LjPrYoX_Bre9MxXktT4lC-mZGOwmq&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
1742,Ibiza,,,,"Carrer Major, 3, 07800 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ_5dbszhHmRIRK6pd5YREsa8,,http://1742ibiza.com/,4.8,,,,https://logo.clearbit.com/1742ibiza.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNQb1Y7Za02RdhW3SNYhezy6O1sThjk0ARgqBMsef3u5fsglZJveuINZxVFAkILlDm7hRYmPGIPHLlZMttvlgVSmvqVhkGA4pqKj8Aoa1oH62_CzLI3jJ0Va-4YcO2gJTP0uKLghDO_AO-m5cci9ymc0cfZ1yW5TZuoUizhCDdq9wKZzyi56aAcNwH2OH6bJm0A7lmYDuDPjI5XF3FgcVQRAwmd9ICdrMlRp7PMWF8MekULfqioQcFEUakdsvvcLE70f3b-a4UuyWWOb5q1qDsFBJ0L7tyg2ffPLK6CWJ0Mx2vjGJv4&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Komodo,Miami,High-end restaurant and lounge serving Southeast Asian plates and innovative cocktails,"Asian Fusion, Cocktail Bars",,"801 Brickell Ave, Miami, FL 33131, United States",https://www.google.com/maps/place/?q=place_id:ChIJd6C8AYO22YgRYuO-L2IUdDQ,https://www.yelp.com/biz/komodo-miami-miami-2?adjust_creative=hi1hqrcYedQJgTnFtkk7_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hi1hqrcYedQJgTnFtkk7_g,http://www.komodomiami.com/,4.2,3.9,2523,$$$$,https://logo.clearbit.com/komodomiami.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNRVzgOP7NvPS9CrD6kWsM5lBrjsSgHmCsTS3hdOp9aW2bfGOKfhOI35uPvznIHn-8oU4MOcDoSvJwyeVW_AO2OUZLaxIT3ZnJ67jb_p1JC-VFZ30cYJg1-WkVoCyZPfVQMjSxwsr4zj7eEdZKmTpd1i-KXafh5asJq5IJRHU5uU4x46S9wuwYIDdc1DHSYV8yQ6X4p5-F6Z3r6TJEaf7_iHRoc_uBDnp9UhxPvYzWkZa13DRfa584P_d7OLlCyat7dn9kGKLnw0xsMucP0lpuzXzJvw3SeUScPu3yR7hAVpTgQNvtE&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
El Chiringuito Ibiza,Ibiza,"Locally sourced dishes, ice cream & cocktails offered in a chill beachfront locale.",,,"Camí des Cavallet, 07818, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJsyndxgNFmRIR94_vkf0W4Ww,,https://www.elchiringuitoibiza.com/,4.2,,,,https://logo.clearbit.com/elchiringuitoibiza.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNRoZZygnnx5rJ4YCi3IXSc3U5xbMkHULFTJ6CdilHY8wNzoAfggktUB4iHnTRalKKfmZNdclcTLvMaV8S6cZAAd9Po_mG54GNx7iW0ZXEChWIrB-0wOYOuS-O1QEs_O7NQBRlmEjeml6VtMpJCfZJTbpqmQrHQEu34jjeMlVam-j4quL0UBVR22SimqaFp2kNKIvgHy63tSdybRf8i4GA1_neXo5y-Vvkfq43C4sEP1Z7gMHO6KDLoJ56arPb1jQ57mVdwqTigFc-g-OZ9XF_l8onOl6E83-q5twhBWRvnXpSw4b-N6oLwvRoNiOnQo2vKi2edXyXaj4HEahVDuVHZmvS5sFc6JEGDftaWmQdJ-VRtKRK4pkH3iD7efyn7eWyb-gyXxSeGXR1aSM0IdRZ8nABwCLhixbY8hZc-d-cKXgku1fqILk_ZFk_-05xARDVLJUW4E_0GQ50pDfmiecV_clxL7mHe0BGZA0E7nPilEsYYgGPNvxoIDgHsPH_os0Bv5mtgSZFKsQiTmhZnKxX76muXLgAeH5Di9RZvOX8B9aBl2xMZgLxZQGZwuSGR5d9og_WG5mHrTSw&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Tsuma Ibiza,Ibiza,,,,"Carrer des Jondal, 73-75, Bloque 1, Escalera B, Local 5, 07800 Ibiza, Balearic Islands, Spain",https://www.google.com/maps/place/?q=place_id:ChIJdT8jNuzmqWcRwzp9sgxdl1U,,https://tsumaibiza.com/,4.9,,,,https://logo.clearbit.com/tsumaibiza.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNRkcSS_ahz7merSXKpFb2vAyiSYfXT35ybc9bMWpOmbu12p4lODiqQoPGb6eBIEdEZhhidTLfUwjRd6QUiCg4rlkGG0S0DrFmAk-7G-P26dcnuByhWjzLVIqat5Oe06o09tbZI8zsfkpGcQytJ60ZfNE9yQ1DcatOkPbDOO02FCEi0KNH8jGsg4fz6T-rw3v9ZwZPC4I-3GBeqUkhmuHJZ_MquzEIaneLwIUuqS7-HOUJTPYeOYO0S9hB_dnUcBSRTr1r4y2zY4uMKU8TKlAnA4Gm_xgn_xxxK-Ncyg_p4crs71S1E&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Casa Flow,Ibiza,,,,"Carrer del Bisbe Azara, 5, 07800 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ4QzlSQBHmRIRAnauPb2cmV8,,,4.4,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNT374thfshZeZvU89zCpWh6UYcwm7Q-u8vMdHqbGrNwNEEm9IY9SI9AVpUmOdf2g5GAIF-ZcvwxtLA4S2ImwkYJdfMj6EPLSTu3NWaPmHoTMr_K0adkfYg3sGS6bpl5JBeRTiV-358qOgBbLWD52rmwT33Xw27HjHk98DsTpmCHDrEr64pAPEjwIg54Pe_AJ1Xdzd3ZvtIc_AmuXLVPDJHhEedzu4ffAz9qHt6HW3pE4VR21PSCJwcvAZCSII8j4B-4-pWMYr8ijPdSc0no6sDUFXJr36TmQL4wZF3CRexaYtCCbH0&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Hostel La Torre,Ibiza,"Hip hotel with a rustic-chic vibe, plus a restaurant/bar offering a patio & water views.",,,"Ctra. Cap Negret, 25, 07820 Sant Antoni de Portmany, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJKxnBPOE1mRIRIxk5k9K0Fm0,,http://www.latorreibiza.com/,4.3,,,,https://logo.clearbit.com/latorreibiza.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNSpVLWKP6i7MG6uSwbwrVL47AOEFllAgw72P2qHevGwI60Y2fb4f4Nr3zMd8Gms6UOgjkWYIDrEwIjXzMJT2KiEFMCpzqaDXPo4Zf3BC2pjKNAMjpjQBvxSjZxsnN5c1MIxMgIVs2LAqu3nAbZpGkvpneNzf7DGy9Z0EWZlrmbbEzbi8CzeWQOrDUtDHoVrO480b0KzgIX9dOSFsI6I0eg5hSOvS-c8lMJ7SPmFT5dNmBmx5HUBpBf5pezVaQpRhLPKNtantFAysMBK--QUhzfysJXI-ab88btUqfwp4gDS8efnRDc&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Vi Ibiza,Ibiza,,,,"07800 Ibiza, Balearic Islands, Spain",https://www.google.com/maps/place/?q=place_id:ChIJhRmdbbxGmRIRiPpXk_IayrY,,,,,,,,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNSsXhWAE8ENiJx6SrhpKnei7syX9WYTNOfSmruq5-72Nivj7HyDYlph3n7nTuVH7b7iLDR9TVc34P3go47pbw-Q5sMdha1oFo-7zwH_FSYUGlLm7VODUtK8pnT8-QR-z-lwbDeTawLXtac4JtrqPxoHFrXT7QfW-voQrBAQOu_hngI6EB5MkJDHksWh4DBa2IvuFlErmcN4QxV6N1oASuCd8YcqKhvfvSTCITZ305OGHAvqdmX90E2wYG1PjcdA5acYlExZU6W-aJ30t2G03ntVVK2HRN5C0EMJRUOhg4M60-Srjo__K57v_fVXs3x-YEhTyGaJDDWu8A7NyYgDkghI-EIitBisTwTu0j1rPR-PBh3MqW0giowilUQTBqB4tlH6DWqQclkohUyovcxiOIottjU8D0ZeUsVwL5_c5rICkjdk4NPLDE_oDooj54FpWTokqzidMEUHX3SZRqQKoirFr442x7io8Tzdrc0I66Mteyip6HOVzyHge0Igj7_lfInUaW9AbggrFRQHtcEBFoNwNwmzR9T4cAM8s089-8_mhVnGVBa7DUH1N9uNM5vRfdp91A&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Arrogante ,Ibiza,,,,"Passeig Joan Carles I, 1, 07800 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJPQE99slGmRIRl7d_GGFHFBY,,http://slvj.es/,4.5,,,,https://logo.clearbit.com/slvj.es,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNSrgGVigA0cOJadah5VZqyo43P9ARAU7jPxqJ9KLCPcVqrLHoq1g-bjR01JQKEOI6bXmVmrM_j3rfMFbMSXjtxZRNDRx7Slc_ngAo2mS-LzVzFeQhASs_p6Y3u1q7qqG5G3f6c3W1s1nS_u0J0m0Y_BGJ0p84o2Nkv9j7Fag-AJmECrl5qJlqTcJ2VrYWxRmv0gMzKFwF9glDGjW7q9ROoDJi7VHYzgX7Q_c0t6CZ1AA6tI0bLtvMSsqYSZ0MseSjCcNlJTIer2XOzE9eulymGiAuY1NyDlN0BmW-H6YqpBk7lshGwT1C1KahCNIjIH120I9G8-Ii6r2W2bzS2-Yss35ex0DZnvmkKr6X9Qdu39rlfHAmQr80SJ3jm4oDx5L6alKI-uwigDhiurf-EdyvmbbnaChHx2lVV6RUXYsbIyMZwO07ZkIWVlUXG9aAB57qOZH8ObBbNghx690-tGf6CPLJxVqLgZ2GoLa5wyCrKZHZhwk_q4feRZFm_ebETwayut0GtLim64RTQVoWSTUlfkL6OayPDQFdXnVw47l8qGzgFpwZ_4AkEe_CwHTm47yQSE1poP&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Mango's Tropical Cafe  ,Miami,"Restaurant/nightclub with cocktails, live Latin music & entertainment until 5 AM.","Dance Clubs, American, Bars",,"900 Ocean Dr, Miami Beach, FL 33139, United States",https://www.google.com/maps/place/?q=place_id:ChIJsQeCYpK02YgRSn7c430EGV4,https://www.yelp.com/biz/mangos-tropical-cafe-south-beach-miami-beach-3?adjust_creative=hi1hqrcYedQJgTnFtkk7_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hi1hqrcYedQJgTnFtkk7_g,https://miami.mangos.com/,4.6,3.8,2025,$$,https://logo.clearbit.com/mangos.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNQvD_xpeDBNzjqmfpqLaSoSJoPfEq0CBt1iX4ho8f0JKtqXaoa6H2SOfmxhIz2IR-d1I3tkalJknYB36A4Dw5Hl2XgpwyV6v6chhD_AjwFRVyHgCzv-wvmOf1mJlBLDXJQspjUdwawA2xBn64tksCuD5r1gNhU2mjr_dYmy7JLTF1v-Hb4U2s7Tdivuq8-CU83zTpKlZiFuI8qdZBnVybehMeesAPtOOxE25ZS5a_EaSGNc3e8mlbtQvPIYQ4Jw3usQ_oGpoVbLuzT-V7tkf6ucyDr087xOdsX_q5V4SB5cZqUtJd9Q8zXhANBgiD6jco6q_XrJBHTTVhJs86Rbbnz03lYgLkWpUA6NYHkNYzkwmdhNIKLI-4hsxaZrE7pFaZqox795U7v_PMoouORbKw0hxqaZmIY16Y4OzFqP2tD0V5-q5uV0N1vS3caxBBIJcpXXF-3M7wvisIPAj2Y2rRVGH6lZyvoZAwexdYJCl-zdAb2l8K3wQHoMAPn2o6C-TI-2wJbO1Ze4WsNeECK5hgRRR8_vxlFiVAYJ93h4QU_5ul1Tot0cLvo3mzQ8mn_BDQMOZ8oN&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
JUL'S,Ibiza,,,,"Disseminat sa Caleta, 07818 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJH7lJUR9PmRIRWYxaVHMkQuQ,,http://www.julsrestaurant.com/,4.2,,,,https://logo.clearbit.com/julsrestaurant.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNSvvy6fQP7w_oLW5eO_ke12GOjPh4rAZf9JMvWUfczDa8W8_f2I7-2LLqqXfsG2moMOT2npaYMZg7OWukpTNET2OHXuCkedVXUo52DcjeWDJ6a0sXyI-Bc4aXgFIdvUi4rglGrqatl4eMTGtw1o51PF8oi7li9g5trRkfb3fUexeFMm92CtT87koPKJJo_-_VixJV9QRiUVM3EC8i1Jr2b-pt9rwK96aA4R_OrOw1DEmTOlX2U4Og8NZ8ePJou2tg-HkDryaVxwskQ6lJUmIRvb6b0pJezRLpniDZb_Mmh93lyTqMo&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
LIO,Ibiza,"Champagne, cocktails & global food at an upscale harborside club with live cabaret shows & DJs.",,,"Passeig Joan Carles I, 1, 07800 Eivissa, Illes Balears, Spain",https://www.google.com/maps/place/?q=place_id:ChIJdb3HlkpBmRIRjiz47iNgrlU,,http://www.lioibiza.com/,4.3,,,,https://logo.clearbit.com/lioibiza.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNQfA-xshwFe8am18DfKF_NSHHbGIc7vXMhgH8QCIWAB0x6hxoQ0kkvesnSr8MN3SA7Kg_s5N7SgXkLvclFyh8JkkIdWCVUTBXEg7h7JfG80U6ErKzcYS5sMQBvkYigO1pkRk-oYgYqlr0PfJh6iRJcE-gcL9I_LQIcXIOOSm5JRhwOKteN4D6V00uqvbZrCe2qgiyyVo-U0kPR_t3wJRbJI1iSiNpi9-WRjjg9gxiOdz9iuQtdlsxLxcEe-PJGQcCdP67u0dnuwzT4iLyGoR-FT-_m93ijqHH9CmxLx99Vd7hs76v0&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
Torno Subito Miami,Miami,,Italian,,"200 E Flagler St, Miami, FL 33131, United States",https://www.google.com/maps/place/?q=place_id:ChIJuycOvJq32YgRPjfJ3mJHLvQ,https://www.yelp.com/biz/torno-subito-miami?adjust_creative=hi1hqrcYedQJgTnFtkk7_g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=hi1hqrcYedQJgTnFtkk7_g,https://tornosubitomia.com/,4.6,4.4,40,,https://logo.clearbit.com/tornosubitomia.com,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photoreference=AXQCQNTMD3JzbFmwHKxHAqjU0aCeROqplkUdQA3JBIfkA6A9qDRCOu0GFJwRR1n2ZyKfCuXu1LxOeAGJ5hENkaiJFDmSw-l_Zb20r4Lp8ZolnXgh9gAFTsPsduOrVdQpdrPhcEBgBXuGV2XLUULZoJyTqlnIhuB0NE3_b1wXVEEq5ZF01SL9cGD2fcMJsW13eNh0WmUux_9PjfCeS1FEz5og2iSDjAUo20e53VX_Wj3QkNv5K1v_wy5Tt0Ke2SRF0R_GxkFEBoNTulRrWpTFszHIguLgS6urxn-3hoVAHRNtHf0ELjeZJuQ&key=AIzaSyDwRBTX_LExP-ccDfuzg51tfdzeQCLoi-g,,active
